player_name,club_name,position_name,now_cost,total_points,event_points,points_per_game,selected_by_percent,goals_scored,assists,minutes,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,saves,yellow_cards,red_cards,bonus,influence,creativity,threat,ict_index,form,dreamteam_count,value_form,value_season,transfers_in,transfers_out,transfers_in_event,transfers_out_event,cost_change_start,cost_change_start_fall,cost_change_event,cost_change_event_fall,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution,defensive_contribution_per_90,news,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
Ezri Konsa,Aston Villa,DEF,4.5,18,2,2.6,9.5,0,0,605,2,7,0,0,0,0,0,1,0,117.8,25.3,25.0,16.8,2.0,0,0.4,4.0,213448,1355023,3971,42203,0.0,0.0,0.0,0.0,0.04,0.09,0.13,9.0,7,3,29,21,32,4.76,,116,56,245,76,230,68,197,64,,,,,,,0.01,0.0,0.01,0.02,1.34,1.04,403,78,160,61,195,75,45,14,1.04,0.3
Malo Gusto,Chelsea,DEF,4.9,18,3,2.6,1.1,0,1,398,2,5,0,0,0,0,0,1,0,52.6,66.5,22.0,14.0,2.7,0,0.6,3.7,60102,142746,416,13113,-0.1,0.1,0.0,0.0,0.07,0.27,0.34,7.83,4,8,10,25,18,4.07,Suspended until 01 Nov,247,95,123,29,244,73,223,76,,,,,,,0.02,0.0,0.06,0.08,1.77,1.13,341,59,125,47,197,77,170,62,0.9,0.45
Mathias Jensen,Brentford,MID,4.9,18,6,3.0,0.1,2,0,175,0,4,0,0,0,0,0,0,0,93.8,48.7,36.0,17.9,4.3,0,0.9,3.7,4310,6872,672,246,-0.1,0.1,0.0,0.0,0.52,0.1,0.62,3.03,2,6,7,6,19,9.77,,158,60,167,112,193,111,186,96,3.0,,,,,,0.27,0.0,0.05,0.32,1.56,2.06,310,195,56,22,155,62,509,177,1.03,0.0
Boubacar Kamara,Aston Villa,MID,4.9,17,2,2.8,0.2,0,2,384,1,4,0,0,0,0,1,0,1,109.4,68.0,24.0,20.1,2.7,0,0.6,3.5,14195,21173,1294,695,-0.1,0.1,0.0,0.0,0.07,0.33,0.39,4.68,5,11,15,21,47,11.02,,129,45,120,84,236,129,161,83,,,,,,,0.02,0.0,0.08,0.1,1.1,0.94,318,198,124,59,186,79,382,128,1.17,0.23
Alexis Mac Allister,Liverpool,MID,6.3,17,2,2.4,1.3,0,1,446,1,5,0,0,0,0,0,0,0,60.6,74.6,36.0,17.1,2.0,0,0.3,2.7,68553,160993,3014,4636,-0.2,0.2,0.0,0.0,0.34,0.23,0.57,5.62,7,7,8,23,38,7.67,,221,94,106,77,197,115,194,102,2.0,,5.0,,3.0,,0.07,0.0,0.05,0.12,1.13,1.01,72,49,186,88,223,100,160,55,1.41,0.2
Lewis Dunk,Brighton,DEF,4.5,17,2,2.1,1.1,0,1,720,0,11,0,0,0,0,3,0,0,122.8,19.9,38.0,18.2,1.3,0,0.3,3.8,59234,78584,2224,3537,0.0,0.0,0.0,0.0,0.35,0.05,0.4,10.67,8,9,53,27,62,7.75,,106,50,277,92,186,46,185,60,,,,,,,0.04,0.0,0.01,0.05,1.33,1.38,391,70,223,76,247,90,169,61,1.0,0.0
Konstantinos Mavropanos,West Ham,DEF,4.4,17,1,2.8,0.1,0,0,495,1,9,0,0,0,0,1,0,0,128.8,2.7,55.0,18.6,1.7,0,0.4,3.9,5542,5474,157,230,-0.1,0.1,0.0,0.0,0.42,0.05,0.47,8.33,5,2,57,20,59,10.73,,94,44,365,128,130,24,177,58,,,,,,,0.08,0.0,0.01,0.09,1.51,1.64,521,129,192,68,183,72,516,189,0.91,0.18
Emiliano Martinez,Aston Villa,GKP,5.0,17,2,2.8,2.0,0,0,540,1,5,0,0,0,12,1,0,0,102.6,3.0,0.0,10.5,2.0,0,0.4,3.4,180111,142926,3604,6440,0.0,0.0,0.0,0.0,0.0,0.03,0.03,6.43,6,0,7,45,0,0.0,,141,18,362,9,683,77,272,18,,,,,,,0.0,2.0,0.0,0.0,1.07,0.83,246,9,171,15,188,18,131,17,1.0,0.17
Luke Shaw,Man Utd,DEF,4.5,17,2,2.1,0.3,0,0,689,1,11,0,0,0,0,0,0,0,84.2,28.0,5.0,11.7,3.0,0,0.7,3.8,25437,25068,2161,885,0.0,0.0,0.0,0.0,0.08,0.13,0.21,12.05,8,15,23,28,38,4.96,,172,69,239,72,331,115,254,88,3.0,,,,,,0.01,0.0,0.02,0.03,1.57,1.44,395,73,108,40,248,91,302,108,1.04,0.13
Matz Sels,Nott'm Forest,GKP,4.9,17,2,2.1,9.5,0,0,720,0,15,0,0,0,28,1,0,0,214.4,0.0,0.0,21.5,2.3,0,0.5,3.5,258590,1322613,1459,45742,-0.1,0.1,0.0,0.0,0.0,0.0,0.0,13.85,8,0,8,51,0,0.0,,18,4,670,79,653,72,149,4,,,,,,,0.0,3.5,0.0,0.0,1.73,1.88,293,12,144,11,249,21,44,8,1.0,0.0
Norberto Bercique Beto,Everton,FWD,5.3,17,2,2.1,3.7,1,0,497,1,7,0,0,0,0,1,0,1,58.0,35.3,166.0,24.9,1.7,0,0.3,3.2,297510,797145,9900,28351,-0.2,0.2,0.0,0.0,3.12,0.11,3.23,8.13,6,5,7,8,20,3.62,,229,20,212,19,19,10,119,17,,,,,2.0,,0.56,0.0,0.02,0.58,1.47,1.27,213,46,204,18,251,23,93,15,1.09,0.18
James Hill,Bournemouth,DEF,4.0,17,1,2.4,0.9,0,0,273,2,3,0,0,0,0,1,0,0,44.0,5.3,41.0,9.1,2.3,0,0.6,4.2,80943,62608,1261,3330,0.0,0.0,0.0,0.0,0.12,0.19,0.31,3.13,2,4,20,9,24,7.91,,268,101,346,118,168,39,292,100,,,,,,,0.04,0.0,0.06,0.1,1.03,0.99,656,177,137,50,215,80,188,72,0.66,0.66
Ethan Ampadu,Leeds,MID,4.9,17,2,2.8,0.1,0,0,517,1,8,0,0,0,0,2,0,0,86.0,54.2,11.0,15.2,2.0,0,0.4,3.5,6625,8984,260,336,-0.1,0.1,0.0,0.0,0.14,0.17,0.31,4.71,6,17,22,29,68,11.84,,169,69,151,102,295,156,213,109,,,,,,,0.02,0.0,0.03,0.05,0.82,1.39,305,192,164,77,185,78,515,182,1.04,0.17
Noah Sadiki,Sunderland,MID,5.0,17,3,2.1,0.0,0,0,713,4,6,0,0,0,0,3,0,0,66.6,74.6,17.0,15.9,2.0,0,0.4,3.4,3377,4388,104,228,0.0,0.0,0.0,0.0,0.08,0.34,0.42,9.01,8,11,21,21,53,6.69,,209,88,105,76,265,146,205,107,,,,,,,0.01,0.0,0.04,0.05,1.14,0.76,289,180,175,82,250,116,571,212,1.01,0.5
Amad Amad,Man Utd,MID,6.3,17,3,2.4,1.2,0,2,504,1,6,0,0,0,0,1,0,0,101.0,137.6,127.0,36.6,2.0,0,0.3,2.7,61829,259560,8424,3353,-0.2,0.2,0.0,0.0,1.89,1.03,2.92,6.99,6,13,12,29,54,9.64,,144,52,43,34,42,23,45,30,4.0,,,,,,0.34,0.0,0.18,0.52,1.25,1.07,76,53,187,89,224,101,165,58,1.07,0.18
Jhon J.Arias,Wolves,MID,5.2,16,2,2.0,0.2,0,0,433,1,7,0,0,0,0,0,0,1,76.6,131.5,66.0,27.3,3.3,0,0.6,3.1,11234,60132,398,913,-0.3,0.3,0.0,0.0,0.64,0.3,0.94,5.63,5,21,10,21,52,10.81,,184,74,49,39,107,65,98,54,1.0,,,,,,0.13,0.0,0.06,0.19,1.17,1.45,225,140,98,46,266,124,337,114,1.04,0.21
Mikel Merino,Arsenal,MID,5.9,16,1,2.3,0.6,1,0,270,2,1,0,0,0,0,0,0,0,69.0,44.8,68.0,17.9,2.7,0,0.5,2.7,73839,84683,3690,5018,-0.1,0.1,0.0,0.0,0.34,0.13,0.47,1.77,3,7,7,17,31,10.33,,201,85,178,117,102,62,188,97,,,,,,,0.11,0.0,0.04,0.15,0.59,0.33,99,66,133,65,230,106,219,72,1.0,0.67
Oscar Bobb,Man City,MID,5.4,16,1,2.3,0.3,0,1,391,2,4,0,0,0,0,0,0,0,60.0,128.8,70.0,26.0,1.7,0,0.3,3.0,77341,74526,755,1932,-0.1,0.1,-0.1,0.1,0.37,0.88,1.25,4.56,4,6,1,15,22,5.06,,224,96,50,40,97,58,109,61,,,,,,,0.09,0.0,0.2,0.29,1.05,0.92,188,117,207,100,227,103,307,106,0.92,0.46
Neco N.Williams,Nott'm Forest,DEF,4.8,16,1,2.0,4.1,1,0,720,0,15,0,0,0,0,4,0,2,165.0,118.5,93.0,37.7,0.7,1,0.1,3.3,167944,790440,1599,22122,-0.2,0.2,0.0,0.0,0.75,0.4,1.15,13.85,8,20,22,30,42,5.25,,52,22,59,14,64,6,39,6,,,,,,,0.09,0.0,0.05,0.14,1.73,1.88,365,63,295,102,260,96,84,31,1.0,0.0
Bernardo Bernardo,Man City,MID,6.3,16,1,2.0,0.6,0,1,401,2,2,0,0,0,0,1,0,0,75.0,136.0,20.0,23.1,1.0,0,0.2,2.5,38058,76193,1443,3073,-0.2,0.2,0.0,0.0,0.1,1.08,1.18,4.56,4,7,12,24,43,9.65,,189,79,44,35,251,137,133,70,1.0,,,,,,0.02,0.0,0.24,0.26,1.02,0.45,70,47,274,133,271,127,226,76,0.9,0.45
Maximilian Kilman,West Ham,DEF,4.4,16,3,2.0,0.2,0,0,720,1,18,0,0,0,0,3,0,0,184.0,30.1,16.0,23.0,2.3,0,0.5,3.6,11359,24656,303,546,-0.1,0.1,0.0,0.0,0.39,0.18,0.57,13.56,8,9,69,24,78,9.75,,41,17,233,68,267,81,134,45,,,,,,,0.05,0.0,0.02,0.07,1.7,2.25,511,122,141,53,257,93,367,131,1.0,0.12
Nico N.Gonzalez,Man City,MID,5.9,16,5,2.3,0.1,0,0,435,3,4,0,0,0,0,1,0,0,96.2,75.0,18.0,18.8,3.3,0,0.6,2.7,7717,10146,543,333,-0.1,0.1,0.0,0.0,0.1,0.37,0.47,4.91,4,13,23,20,56,11.59,Knock - 75% chance of playing,154,57,103,74,260,143,174,90,,,,,,,0.02,0.0,0.08,0.1,1.02,0.83,105,72,101,49,231,107,485,165,0.83,0.62
Mathys Tel,Spurs,MID,6.3,16,1,2.7,0.1,1,0,234,1,2,0,0,0,0,0,0,2,43.8,9.8,38.0,9.2,3.7,0,0.6,2.5,12510,15710,1144,1070,-0.2,0.2,0.0,0.0,0.19,0.05,0.24,2.13,3,5,2,10,17,6.54,,272,121,331,176,189,109,291,144,5.0,,4.0,,4.0,,0.07,0.0,0.02,0.09,0.82,0.77,78,54,86,39,194,84,408,136,1.15,0.38
Lamare Bogarde,Aston Villa,DEF,4.0,15,0,2.5,0.7,0,0,282,1,2,0,0,0,0,1,0,3,20.2,32.1,6.0,5.7,1.3,0,0.3,3.8,72871,34452,1167,3344,0.0,0.0,0.0,0.0,0.0,0.08,0.08,3.28,3,4,4,9,8,2.55,,341,127,221,63,323,110,331,110,,,,,,,0.0,0.0,0.03,0.03,1.05,0.64,675,188,220,73,206,78,201,77,0.96,0.32
Rodrigo Muniz,Fulham,FWD,5.4,15,0,3.0,1.2,1,1,314,1,4,1,0,0,0,1,0,3,58.8,41.7,103.0,20.0,0.0,0,0.0,2.8,247372,361515,189,14675,-0.1,0.1,0.0,0.0,0.86,0.01,0.87,5.45,4,3,8,6,17,4.87,Hamstring injury - Expected back 01 Nov,228,19,192,16,58,19,164,21,,,,,,,0.25,0.0,0.0,0.25,1.56,1.15,178,43,705,72,167,17,164,26,1.15,0.29
Kenny Tete,Fulham,DEF,4.5,15,0,3.0,0.1,0,0,450,1,5,0,0,0,0,0,0,0,86.8,40.5,14.0,14.2,0.0,0,0.0,3.3,14705,20591,207,484,0.0,0.0,0.0,0.0,0.07,0.43,0.5,6.85,5,16,20,16,36,7.2,,168,67,195,53,280,90,221,75,,,,,,,0.01,0.0,0.09,0.1,1.37,1.0,399,75,569,218,152,61,418,156,1.0,0.2
Gabriel Martinelli,Arsenal,MID,6.9,15,1,2.1,1.2,1,0,190,1,0,0,0,0,0,0,0,1,50.0,30.3,91.0,17.2,1.0,0,0.1,2.2,82178,123558,3488,6680,-0.1,0.1,0.0,0.0,0.75,0.08,0.83,1.58,2,3,2,10,15,7.11,,253,113,232,143,67,39,193,101,,,,,,,0.36,0.0,0.04,0.4,0.75,0.0,42,26,278,137,253,118,166,59,0.95,0.47
Eliezer Mayenda,Sunderland,FWD,5.5,15,1,2.5,0.8,1,0,257,2,1,0,0,0,0,0,0,2,48.2,24.6,52.0,12.3,0.7,0,0.1,2.7,248521,251558,687,6337,0.0,0.0,0.0,0.0,0.47,0.06,0.53,2.81,3,1,2,4,7,2.45,,259,22,252,23,140,30,246,25,,,,,1.0,,0.16,0.0,0.02,0.18,0.98,0.35,158,39,313,36,212,20,192,30,1.05,0.7
Crysencio Summerville,West Ham,MID,5.5,15,1,2.5,0.1,0,2,401,0,9,0,0,0,0,2,0,0,62.0,63.8,60.0,18.6,1.3,0,0.2,2.7,17662,7844,1362,769,0.0,0.0,0.0,0.0,0.5,0.4,0.9,8.57,5,5,12,19,36,8.08,,215,90,130,89,120,73,178,92,,,,,,,0.11,0.0,0.09,0.2,1.92,2.02,148,94,233,116,211,95,445,148,1.12,0.0
Carlos Henrique Casemiro,Man Utd,MID,5.5,15,0,2.1,0.2,1,1,387,1,4,0,0,0,0,3,1,0,76.2,39.1,53.0,16.8,1.3,0,0.2,2.7,15779,23119,1606,977,0.0,0.0,0.0,0.0,1.04,0.09,1.13,4.87,6,12,9,21,42,9.77,,187,77,200,129,136,81,199,104,,,,,,,0.24,0.0,0.02,0.26,1.13,0.93,135,86,231,114,252,117,335,113,1.4,0.23
Maxim De Cuyper,Brighton,DEF,4.4,15,1,2.1,2.2,1,0,348,0,6,0,0,0,0,1,0,1,78.0,59.5,69.0,20.8,3.3,0,0.7,3.4,64487,467328,1130,9369,-0.1,0.1,0.0,0.0,0.7,0.55,1.25,5.57,4,7,12,19,19,4.91,,181,73,136,32,100,17,153,51,,,,,,,0.18,0.0,0.14,0.32,1.44,1.55,531,134,92,33,246,89,125,47,1.03,0.0
Rico Lewis,Man City,DEF,4.9,15,1,3.0,1.9,0,1,172,1,3,0,0,0,0,0,0,2,47.2,32.2,15.0,9.4,0.7,1,0.1,3.1,348595,358907,668,10443,-0.1,0.1,-0.1,0.1,0.02,0.91,0.93,2.57,2,3,9,4,12,6.28,,260,100,220,62,275,86,289,99,,,,,,,0.01,0.0,0.48,0.49,1.34,1.57,339,58,299,103,158,65,137,50,1.05,0.52
Florian Wirtz,Liverpool,MID,8.1,14,1,1.8,8.1,0,0,509,2,6,0,0,0,0,1,0,0,64.4,198.9,122.0,38.5,1.3,0,0.2,1.7,383790,3085602,5612,43136,-0.4,0.4,0.0,0.0,1.0,0.97,1.96,6.78,5,9,5,23,37,6.54,,212,89,19,18,45,25,37,26,1.0,,,,,,0.18,0.0,0.17,0.35,1.2,1.06,13,8,237,117,288,136,49,17,0.88,0.35
Kristoffer Ajer,Brentford,DEF,4.4,14,6,2.8,0.2,0,1,208,1,2,0,0,0,0,0,0,0,55.2,12.6,40.0,10.9,2.7,0,0.6,3.2,6809,12164,317,421,-0.1,0.1,0.0,0.0,0.25,0.43,0.68,1.42,2,8,10,6,18,7.79,,234,90,310,108,171,41,268,91,,,,,,,0.11,0.0,0.19,0.3,0.61,0.87,507,118,119,44,182,71,390,142,0.87,0.43
Reinildo Reinildo,Sunderland,DEF,4.0,14,0,2.8,4.7,0,0,392,2,4,0,0,0,0,1,1,0,74.2,18.3,6.0,9.9,0.0,0,0.0,3.5,412760,635421,1041,17242,0.0,0.0,0.0,0.0,0.02,0.04,0.06,4.78,5,11,25,13,36,8.27,,192,77,281,94,322,109,281,93,,,,,,,0.0,0.0,0.01,0.01,1.1,0.92,643,170,441,170,181,70,75,27,1.15,0.46
Joelinton Cássio Joelinton,Newcastle,MID,5.9,14,1,2.3,0.3,0,0,446,3,4,0,0,0,0,2,0,0,43.4,50.9,88.0,18.4,2.3,0,0.4,2.4,23330,47438,1374,1603,-0.1,0.1,0.0,0.0,0.55,0.36,0.91,3.69,6,9,17,23,49,9.89,,276,124,161,107,73,45,183,95,,,,,,,0.11,0.0,0.07,0.18,0.74,0.81,96,63,153,72,229,105,312,108,1.21,0.61
Justin Kluivert,Bournemouth,MID,7.0,14,2,2.0,1.1,1,0,234,0,5,0,0,0,0,0,0,1,62.0,85.4,39.0,18.6,3.3,0,0.5,2.0,109916,101720,12159,6055,0.0,0.0,0.0,0.0,0.33,0.62,0.95,4.72,2,4,3,7,14,5.38,,216,91,89,65,184,107,179,93,3.0,,,,1.0,,0.13,0.0,0.24,0.37,1.82,1.92,33,19,103,51,273,129,171,60,0.77,0.0
Milos Kerkez,Liverpool,DEF,5.8,14,1,1.8,4.0,0,0,600,1,8,0,0,0,0,2,0,0,100.4,79.0,28.0,20.8,1.0,0,0.2,2.4,213311,556022,2326,20352,-0.2,0.2,0.0,0.0,0.11,0.14,0.25,7.45,8,11,37,25,48,7.2,,146,62,94,22,222,62,155,52,,,,,,,0.02,0.0,0.02,0.04,1.12,1.2,118,11,269,91,285,101,87,32,1.2,0.15
Mateus Gonçalo M.Fernandes,West Ham,MID,5.5,14,1,2.3,0.0,0,0,443,1,8,0,0,0,0,0,0,0,56.2,68.3,13.0,13.7,2.3,0,0.4,2.5,3891,2330,238,185,0.0,0.0,0.0,0.0,0.16,0.29,0.45,8.47,6,15,8,17,40,8.13,,232,100,117,82,288,155,230,115,,,,,,,0.03,0.0,0.06,0.09,1.72,1.63,157,100,151,70,228,104,625,255,1.22,0.2
Raúl Raúl,Fulham,FWD,6.2,14,2,2.0,0.8,1,0,231,0,2,0,0,0,0,0,0,1,39.8,9.0,60.0,10.2,2.7,0,0.4,2.3,40303,200367,2636,3099,-0.3,0.3,0.0,0.0,0.51,0.02,0.53,3.27,3,6,3,4,13,5.06,,283,24,334,36,122,28,278,27,,,4.0,,1.0,,0.2,0.0,0.01,0.21,1.27,0.78,79,24,134,11,270,24,194,31,1.17,0.0
Emmanuel Agbadou,Wolves,DEF,4.4,14,0,2.0,0.2,0,0,525,0,14,0,0,0,0,0,0,0,161.6,39.7,39.0,24.1,0.7,0,0.2,3.2,22050,46745,82,1171,-0.1,0.1,0.0,0.0,0.38,0.26,0.64,8.36,5,14,48,29,62,10.63,,55,24,198,55,179,44,124,39,,,5.0,,,,0.07,0.0,0.04,0.11,1.43,2.4,554,142,285,95,258,94,342,122,0.86,0.0
Josh King,Fulham,MID,4.5,14,2,1.8,4.0,0,0,529,1,9,0,0,0,0,2,0,0,52.6,45.5,125.0,21.7,2.0,0,0.4,3.1,686154,317498,19316,16980,0.0,0.0,0.0,0.0,0.77,0.29,1.06,8.69,8,9,7,21,37,6.29,,246,109,176,115,43,24,147,76,,,,,,,0.13,0.0,0.05,0.18,1.48,1.53,471,280,162,76,277,131,86,27,1.36,0.17
Anthony Elanga,Newcastle,MID,6.8,13,1,1.6,4.3,0,0,371,2,6,0,0,0,0,0,0,0,32.4,79.2,58.0,17.0,1.7,0,0.3,1.9,517024,946213,3463,24844,-0.2,0.2,0.0,0.0,0.61,0.21,0.82,2.53,4,2,3,7,12,2.91,,301,135,93,68,126,76,195,103,,,,,,,0.15,0.0,0.05,0.2,0.61,1.46,47,31,213,105,308,145,80,25,0.97,0.49
Bart Verbruggen,Brighton,GKP,4.4,13,2,1.6,4.2,0,0,720,0,11,1,0,0,16,0,0,0,141.6,10.0,0.0,15.1,1.7,0,0.4,3.0,100610,431912,3181,11784,-0.1,0.1,0.0,0.0,0.0,0.01,0.01,10.67,8,0,5,82,0,0.0,,84,11,325,4,530,59,214,11,,,,,,,0.0,2.0,0.0,0.0,1.33,1.38,538,30,194,18,295,25,82,14,1.0,0.0
Lukas Nmecha,Leeds,FWD,5.0,13,1,1.6,0.7,1,0,171,1,4,0,0,0,0,0,0,0,46.8,11.5,65.0,12.3,1.0,0,0.2,2.6,115616,101800,2528,5643,0.0,0.0,0.0,0.0,1.7,0.05,1.75,2.75,1,0,7,6,13,6.84,,261,23,317,33,108,25,245,24,,,,,1.0,,0.89,0.0,0.03,0.92,1.45,2.11,252,50,254,24,299,29,199,32,0.53,0.53
Sávio Savinho,Man City,MID,6.9,13,6,2.6,0.5,0,1,251,2,2,0,0,0,0,0,0,0,41.2,48.4,99.0,18.7,3.7,0,0.5,1.9,14809,82764,3219,1016,-0.1,0.1,0.0,0.0,0.2,0.43,0.63,3.58,3,1,4,11,16,5.74,,281,127,168,113,61,36,176,91,,,,,,,0.07,0.0,0.15,0.22,1.28,0.72,44,28,88,41,204,91,248,84,1.08,0.72
Ryan Christie,Bournemouth,MID,5.0,13,5,2.2,0.1,1,1,172,0,4,0,0,0,0,1,0,0,60.4,28.0,51.0,14.0,3.3,0,0.7,2.6,4590,8069,968,265,0.0,0.0,0.0,0.0,0.78,0.06,0.84,4.56,1,6,10,12,28,14.65,,222,95,240,146,145,86,224,112,4.0,,,,,,0.41,0.0,0.03,0.44,2.39,2.09,248,153,97,45,238,110,507,176,0.52,0.0
Simon Adingra,Sunderland,MID,5.2,13,0,2.2,0.6,0,1,271,2,4,0,0,0,0,1,0,0,28.4,77.8,8.0,11.4,0.7,0,0.1,2.5,74185,180445,581,4114,-0.3,0.3,0.0,0.0,0.14,0.25,0.39,3.03,4,4,5,7,16,5.31,,312,143,97,70,306,162,260,131,,,,,,,0.05,0.0,0.08,0.13,1.01,1.33,232,146,304,146,239,111,218,71,1.33,0.66
Martin Ødegaard,Arsenal,MID,7.9,13,0,2.2,1.6,0,1,201,1,1,0,0,0,0,0,0,0,43.0,65.0,22.0,13.0,1.7,0,0.2,1.6,132941,390346,73,10370,-0.1,0.1,0.0,0.0,0.14,0.81,0.95,2.36,4,3,6,10,19,8.51,Knee injury - Unknown return date,279,126,127,87,247,135,236,119,3.0,,2.0,,3.0,,0.06,0.0,0.36,0.42,1.06,0.45,17,12,216,107,245,115,148,50,1.79,0.45
Nikola Milenković,Nott'm Forest,DEF,5.3,13,1,1.6,4.6,0,0,720,0,15,0,0,0,0,1,0,0,118.4,23.8,41.0,18.5,1.7,0,0.3,2.5,196860,736374,1181,28012,-0.2,0.2,0.0,0.0,0.38,0.2,0.58,13.85,8,2,48,23,50,6.25,,113,53,255,82,170,40,181,59,,,,,,,0.05,0.0,0.02,0.07,1.73,1.88,206,27,203,71,301,107,77,28,1.0,0.0
Hwang Hee Chan,Wolves,MID,5.9,13,0,2.2,0.1,1,0,275,0,4,0,0,0,0,0,0,0,49.0,18.1,49.0,11.6,0.7,0,0.1,2.2,24697,29965,45,1750,-0.1,0.1,0.0,0.0,0.65,0.11,0.76,4.96,4,4,5,2,11,3.6,Knock - 75% chance of playing,257,114,283,161,149,88,257,130,,,,,1.0,,0.21,0.0,0.04,0.25,1.62,1.31,98,65,316,153,243,113,413,138,1.31,0.0
William Osula,Newcastle,FWD,5.5,13,1,1.6,0.3,1,0,164,1,3,0,0,0,0,0,0,0,37.2,13.7,31.0,7.9,1.0,0,0.2,2.4,64861,64875,986,2396,0.0,0.0,0.0,0.0,0.4,0.02,0.42,1.77,1,1,1,4,6,3.29,,292,26,304,30,211,34,308,33,,,,,,,0.22,0.0,0.01,0.23,0.97,1.65,156,38,265,28,304,30,300,48,0.55,0.55
Emile Smith Rowe,Fulham,MID,5.7,13,1,1.6,0.5,1,0,150,0,1,0,0,0,0,0,0,0,43.0,30.8,40.0,11.4,1.0,0,0.2,2.3,37921,95205,572,2349,-0.3,0.3,0.0,0.0,0.79,0.07,0.86,2.01,0,1,0,4,5,3.0,,277,125,228,141,178,103,261,132,,,,,,,0.47,0.0,0.04,0.51,1.21,0.6,122,79,266,128,305,142,242,82,0.0,0.0
Harvey Barnes,Newcastle,MID,6.4,13,1,1.6,0.4,0,0,334,2,4,0,0,0,0,0,0,0,29.2,83.4,85.0,19.6,1.0,0,0.2,2.0,129521,150688,1342,2658,-0.1,0.1,0.0,0.0,0.71,0.87,1.58,1.67,3,2,2,12,16,4.31,,310,141,90,66,79,50,166,85,,,,,,,0.19,0.0,0.23,0.42,0.45,1.08,61,42,275,134,307,144,262,89,0.81,0.54
Fábio Carvalho,Brentford,MID,4.9,12,0,2.4,0.2,1,0,96,0,4,0,0,0,0,0,0,1,38.8,6.2,36.0,8.0,0.3,0,0.1,2.4,25681,34859,234,1226,-0.1,0.1,0.0,0.0,0.7,0.03,0.73,2.08,1,3,0,5,8,7.5,,285,128,343,183,195,113,305,150,4.0,,,,,,0.66,0.0,0.03,0.69,1.95,3.75,320,199,346,164,219,97,339,115,0.94,0.0
Ibrahim Sangaré,Nott'm Forest,MID,4.9,12,1,2.0,0.1,0,0,441,0,9,0,0,0,0,1,0,0,59.6,35.0,36.0,13.1,0.3,0,0.1,2.4,4268,5927,105,228,-0.1,0.1,0.0,0.0,0.28,0.11,0.39,7.65,5,11,22,17,50,10.2,,225,97,213,135,194,112,234,118,,,,,,,0.06,0.0,0.02,0.08,1.56,1.84,312,196,345,163,262,120,542,198,1.02,0.0
Hannibal Hannibal,Burnley,MID,4.9,12,0,1.7,0.1,0,0,253,1,7,0,0,0,0,1,0,0,20.0,40.7,13.0,7.3,0.3,0,0.1,2.4,8882,14216,204,606,-0.1,0.1,0.0,0.0,0.16,0.21,0.37,6.99,3,9,3,11,23,8.18,,344,160,194,126,285,153,314,155,,,3.0,,,,0.06,0.0,0.07,0.13,2.49,2.49,334,208,347,165,291,137,427,146,1.07,0.36
Kyle Walker-Peters,West Ham,DEF,4.4,12,1,1.7,0.3,0,0,436,1,7,0,0,0,0,1,0,0,66.8,47.5,32.0,14.7,1.0,0,0.2,2.7,12772,26537,273,983,-0.1,0.1,0.0,0.0,0.14,0.06,0.2,7.01,5,10,15,20,25,5.16,,207,85,169,41,203,53,217,73,,,,,,,0.03,0.0,0.01,0.04,1.45,1.44,505,116,241,81,289,102,310,111,1.03,0.21
Cristhian Mosquera,Arsenal,DEF,5.4,12,0,2.4,0.2,0,0,247,1,2,0,0,0,0,0,0,1,55.2,2.6,4.0,6.2,0.3,0,0.1,2.2,22166,22770,168,1466,-0.1,0.1,0.0,0.0,0.0,0.04,0.04,1.13,2,8,15,10,23,8.38,,236,91,367,130,346,125,324,108,,,,,,,0.0,0.0,0.01,0.01,0.41,0.73,189,25,361,124,221,84,372,134,0.73,0.36
Tosin Tosin,Chelsea,DEF,4.4,12,1,2.4,0.5,0,0,362,1,5,0,0,0,0,1,0,0,99.2,6.4,11.0,11.7,0.3,0,0.1,2.7,86999,170235,790,2294,-0.1,0.1,0.0,0.0,0.05,0.07,0.11,5.25,3,5,32,13,37,9.2,,149,63,341,115,292,97,253,87,,,,,,,0.01,0.0,0.02,0.03,1.31,1.24,499,112,329,114,216,81,238,89,0.75,0.25
